"","user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
"1",10922,2025-07-09,"Perks",1.99,1
"2",19995,2025-07-05,"Perks",1.99,3
"3",18321,2025-07-19,"Perks",1.99,8
"4",35139,2025-07-31,"Perks",4.99,23
"5",28901,2025-07-05,"Perks",1.99,3
"6",32571,2025-07-27,"Perks",1.99,50
"7",28056,2025-07-23,"Gold",1.99,1
"8",16939,2025-07-20,"Perks",19.99,13
"9",16862,2025-07-06,"Perks",1.99,60
"10",31923,2025-07-01,"Perks",1.99,4
"11",14866,2025-07-04,"Gold",1.99,1
"12",28983,2025-07-14,"Boosts",1.99,1
"13",25151,2025-07-15,"Perks",1.99,5
"14",20812,2025-07-23,"Gold",1.99,9
"15",16081,2025-07-24,"Gold",49.99,1
"16",13142,2025-07-15,"Boosts",1.99,2
"17",17432,2025-07-23,"Perks",4.99,9
"18",21703,2025-07-28,"Perks",1.99,2
"19",11207,2025-07-17,"Gold",1.99,3
"20",11796,2025-07-12,"Boosts",1.99,1
"21",9543,2025-07-02,"Perks",4.99,2
"22",12823,2025-07-01,"Boosts",1.99,1
"23",17042,2025-07-07,"Perks",1.99,4
"24",25464,2025-07-05,"Boosts",1.99,1
"25",13484,2025-07-09,"Boosts",1.99,2
"26",35282,2025-07-26,"Boosts",1.99,1
"27",21748,2025-07-21,"Perks",1.99,1
"28",12276,2025-07-03,"Perks",4.99,1
"29",31583,2025-07-19,"Boosts",1.99,7
"30",35139,2025-07-31,"Perks",1.99,14
"31",35139,2025-07-31,"Perks",4.99,15
"32",36475,2025-07-05,"Boosts",1.99,4
"33",25775,2025-07-12,"Perks",4.99,2
"34",32571,2025-07-03,"Perks",1.99,4
"35",32571,2025-07-03,"Perks",1.99,21
"36",16939,2025-07-28,"Perks",19.99,19
"37",14262,2025-07-30,"Gold",1.99,1
"38",11509,2025-07-01,"Perks",9.99,1
"39",32599,2025-07-11,"Boosts",1.99,1
"40",16862,2025-07-01,"Perks",1.99,5
"41",16862,2025-07-06,"Perks",1.99,67
"42",16862,2025-07-23,"Perks",1.99,141
"43",28719,2025-07-28,"Perks",1.99,1
"44",27314,2025-07-09,"Perks",4.99,2
"45",30538,2025-07-02,"Perks",1.99,11
"46",14872,2025-07-31,"Gold",1.99,8
"47",9247,2025-07-03,"Perks",1.99,1
"48",27476,2025-07-28,"Gold",1.99,1
"49",36485,2025-07-20,"Perks",1.99,1
"50",27029,2025-07-06,"Perks",4.99,1
"51",23944,2025-07-11,"Perks",4.99,1
"52",12718,2025-07-09,"Gold",1.99,7
"53",32696,2025-07-29,"Perks",1.99,7
"54",18515,2025-07-16,"Gold",1.99,2
"55",34865,2025-07-02,"Boosts",1.99,4
"56",31187,2025-07-29,"Perks",1.99,20
"57",33007,2025-07-08,"Gold",1.99,1
"58",28967,2025-07-18,"Boosts",1.99,1
"59",16365,2025-07-03,"Boosts",1.99,1
"60",17042,2025-07-07,"Perks",1.99,10
"61",9977,2025-07-03,"Perks",4.99,7
"62",10922,2025-07-19,"Perks",1.99,2
"63",13081,2025-07-25,"Boosts",1.99,1
"64",13553,2025-07-12,"Perks",4.99,23
"65",25874,2025-07-08,"Perks",1.99,6
"66",18321,2025-07-19,"Perks",1.99,9
"67",30676,2025-07-23,"Perks",1.99,5
"68",13508,2025-07-02,"Remove Ads",1.99,1
"69",18723,2025-07-15,"Perks",1.99,1
"70",17672,2025-07-30,"Perks",1.99,11
"71",16862,2025-07-06,"Perks",1.99,109
"72",9244,2025-07-31,"Perks",1.99,30
"73",14872,2025-07-28,"Gold",1.99,6
"74",10561,2025-07-19,"Perks",1.99,4
"75",10561,2025-07-21,"Perks",1.99,51
"76",25068,2025-07-15,"Perks",1.99,2
"77",34000,2025-07-04,"Remove Ads",1.99,1
"78",35109,2025-07-11,"Perks",1.99,2
"79",16488,2025-07-01,"Perks",1.99,2
"80",31966,2025-07-27,"Boosts",1.99,1
"81",23090,2025-07-30,"Boosts",1.99,1
"82",31187,2025-07-29,"Boosts",1.99,12
"83",26718,2025-07-01,"Perks",1.99,11
"84",17760,2025-07-15,"Boosts",1.99,1
"85",33866,2025-07-05,"Perks",1.99,2
"86",28929,2025-07-29,"Gold",4.99,2
"87",11618,2025-07-28,"Boosts",1.99,1
"88",19474,2025-07-21,"Perks",4.99,3
"89",25874,2025-07-12,"Perks",1.99,10
"90",33014,2025-07-01,"Perks",1.99,1
"91",36475,2025-07-24,"Perks",1.99,11
"92",11636,2025-07-25,"Perks",1.99,2
"93",32571,2025-07-27,"Perks",1.99,52
"94",17994,2025-07-06,"Perks",1.99,2
"95",16862,2025-07-06,"Perks",1.99,104
"96",16862,2025-07-07,"Perks",1.99,131
"97",22639,2025-07-07,"Boosts",1.99,2
"98",10561,2025-07-21,"Perks",1.99,64
"99",10561,2025-07-21,"Perks",1.99,92
"100",17299,2025-07-18,"Boosts",1.99,1
"101",27975,2025-07-01,"Boosts",1.99,2
"102",22117,2025-07-06,"Perks",1.99,1
"103",22728,2025-07-17,"Remove Ads",1.99,1
"104",15079,2025-07-11,"Gold",1.99,1
"105",8620,2025-07-02,"Perks",4.99,1
"106",27062,2025-07-29,"Boosts",1.99,1
"107",15609,2025-07-02,"Boosts",1.99,1
"108",30320,2025-07-16,"Perks",1.99,6
"109",16824,2025-07-05,"Perks",1.99,28
"110",18272,2025-07-10,"Perks",1.99,5
"111",31187,2025-07-30,"Perks",1.99,26
"112",25053,2025-07-17,"Perks",4.99,1
